budget,m,method,folds,mean_balanced_accuracy,std_balanced_accuracy,minimum_foldwise_BA,mean_sensitivity,mean_specificity,mean_R_min,mean_unique_conditions
0.1,12,Facility Location,20,0.7329613095238094,0.1572441038551345,0.5,0.4677083333333333,0.9982142857142857,0.4677083333333333,9.3
0.1,12,MRDS,20,0.822172619047619,0.17243496309649753,0.5,0.6854166666666667,0.9589285714285716,0.6610119047619047,9.2
0.1,12,W2-k-medoids,20,0.749702380952381,0.16923675174672617,0.5,0.5083333333333333,0.9910714285714286,0.5077380952380952,9.55
0.2,24,Facility Location,20,0.9369047619047619,0.06715876104771186,0.7678571428571428,0.89375,0.9800595238095238,0.8901785714285715,18.75
0.2,24,MRDS,20,0.8993303571428571,0.10715403359104929,0.65625,0.846875,0.9517857142857142,0.821875,14.3
0.2,24,W2-k-medoids,20,0.9491815476190476,0.05094937932902627,0.875,0.909375,0.9889880952380953,0.9040178571428571,19.5
0.3,36,Facility Location,20,0.9375,0.06160029413580631,0.8095238095238095,0.9020833333333333,0.9729166666666667,0.887202380952381,24.7
0.3,36,MRDS,20,0.9079613095238095,0.08980669199654918,0.7023809523809523,0.8927083333333334,0.9232142857142858,0.8385416666666666,18.8
0.3,36,W2-k-medoids,20,0.9410714285714287,0.05171707057124542,0.875,0.9041666666666666,0.9779761904761906,0.893452380952381,24.05
0.4,48,Facility Location,20,0.9368303571428571,0.058593280694902175,0.84375,0.9010416666666666,0.9726190476190476,0.8849702380952381,26.8
0.4,48,MRDS,20,0.9263392857142858,0.059915106392647334,0.7857142857142857,0.9208333333333334,0.9318452380952381,0.8744047619047619,22.85
0.4,48,W2-k-medoids,20,0.9433779761904763,0.05316627241308892,0.84375,0.9052083333333334,0.981547619047619,0.9004464285714286,26.4
0.5,60,Facility Location,20,0.9372023809523811,0.05299528323119656,0.875,0.9,0.9744047619047619,0.8904761904761905,27.65
0.5,60,MRDS,20,0.9348214285714287,0.05490287103278768,0.8273809523809523,0.93125,0.9383928571428571,0.8931547619047618,26.15
0.5,60,W2-k-medoids,20,0.9392857142857143,0.051210234719173464,0.875,0.9041666666666666,0.9744047619047619,0.8946428571428571,28.0
1.0,120,Full training reference,20,0.9507440476190476,0.047701946560209985,0.8630952380952381,0.9270833333333334,0.9744047619047619,0.912797619047619,30.0
