split,repeat,fold,seed,budget,m,method,stage,uniform_J_alpha,J_synthetic_final,source
0,0,0,11,0.2,24,Facility Location,uniform observed subset,0.005400081826735679,,final structured retention evaluation
0,0,0,11,0.2,24,MRDS,uniform observed subset,0.00406629048883426,0.0008554760770528882,final structured retention evaluation
0,0,0,11,0.2,24,W2-k-medoids,uniform observed subset,0.006903274736015003,,final structured retention evaluation
1,0,1,11,0.2,24,Facility Location,uniform observed subset,0.01252320619868544,,final structured retention evaluation
1,0,1,11,0.2,24,MRDS,uniform observed subset,0.004857646351803497,0.0005618532818851778,final structured retention evaluation
1,0,1,11,0.2,24,W2-k-medoids,uniform observed subset,0.009225236509042313,,final structured retention evaluation
2,0,2,11,0.2,24,Facility Location,uniform observed subset,0.005965894759345742,,final structured retention evaluation
2,0,2,11,0.2,24,MRDS,uniform observed subset,0.002867548385765437,0.0008528080942857029,final structured retention evaluation
2,0,2,11,0.2,24,W2-k-medoids,uniform observed subset,0.005017843075339661,,final structured retention evaluation
3,0,3,11,0.2,24,Facility Location,uniform observed subset,0.016084271782473,,final structured retention evaluation
3,0,3,11,0.2,24,MRDS,uniform observed subset,0.003984804769542549,1.4267370108195315e-06,final structured retention evaluation
3,0,3,11,0.2,24,W2-k-medoids,uniform observed subset,0.0065769109469304326,,final structured retention evaluation
4,1,0,23,0.2,24,Facility Location,uniform observed subset,0.00898839134296601,,final structured retention evaluation
4,1,0,23,0.2,24,MRDS,uniform observed subset,0.0036123919277788108,0.0004942540283357218,final structured retention evaluation
4,1,0,23,0.2,24,W2-k-medoids,uniform observed subset,0.00703969964998865,,final structured retention evaluation
5,1,1,23,0.2,24,Facility Location,uniform observed subset,0.008073875270533075,,final structured retention evaluation
5,1,1,23,0.2,24,MRDS,uniform observed subset,0.0029735572913989223,0.00045863018752317436,final structured retention evaluation
5,1,1,23,0.2,24,W2-k-medoids,uniform observed subset,0.006893800007099064,,final structured retention evaluation
6,1,2,23,0.2,24,Facility Location,uniform observed subset,0.006981122834294854,,final structured retention evaluation
6,1,2,23,0.2,24,MRDS,uniform observed subset,0.004266230326815865,0.0005072262296504105,final structured retention evaluation
6,1,2,23,0.2,24,W2-k-medoids,uniform observed subset,0.005763272178341755,,final structured retention evaluation
7,1,3,23,0.2,24,Facility Location,uniform observed subset,0.007633557481362687,,final structured retention evaluation
7,1,3,23,0.2,24,MRDS,uniform observed subset,0.0027951301091618344,0.0008378654204140431,final structured retention evaluation
7,1,3,23,0.2,24,W2-k-medoids,uniform observed subset,0.004986020555846962,,final structured retention evaluation
8,2,0,37,0.2,24,Facility Location,uniform observed subset,0.006443226219031368,,final structured retention evaluation
8,2,0,37,0.2,24,MRDS,uniform observed subset,0.0013530457203002517,0.0007638208039326195,final structured retention evaluation
8,2,0,37,0.2,24,W2-k-medoids,uniform observed subset,0.003893061562678798,,final structured retention evaluation
9,2,1,37,0.2,24,Facility Location,uniform observed subset,0.013211326507667398,,final structured retention evaluation
9,2,1,37,0.2,24,MRDS,uniform observed subset,0.0044880982278813686,0.0009747637956868089,final structured retention evaluation
9,2,1,37,0.2,24,W2-k-medoids,uniform observed subset,0.0074863683183457605,,final structured retention evaluation
10,2,2,37,0.2,24,Facility Location,uniform observed subset,0.010880247520037903,,final structured retention evaluation
10,2,2,37,0.2,24,MRDS,uniform observed subset,0.004887656891171306,0.0005574333224895603,final structured retention evaluation
10,2,2,37,0.2,24,W2-k-medoids,uniform observed subset,0.008914215625957716,,final structured retention evaluation
11,2,3,37,0.2,24,Facility Location,uniform observed subset,0.008470030327154569,,final structured retention evaluation
11,2,3,37,0.2,24,MRDS,uniform observed subset,0.0041817438529281855,0.0004922147361325427,final structured retention evaluation
11,2,3,37,0.2,24,W2-k-medoids,uniform observed subset,0.007657904776664668,,final structured retention evaluation
12,3,0,53,0.2,24,Facility Location,uniform observed subset,0.008148523836692288,,final structured retention evaluation
12,3,0,53,0.2,24,MRDS,uniform observed subset,0.0034437774424977744,0.0008653644910605618,final structured retention evaluation
12,3,0,53,0.2,24,W2-k-medoids,uniform observed subset,0.007473143512079231,,final structured retention evaluation
13,3,1,53,0.2,24,Facility Location,uniform observed subset,0.0159571816312868,,final structured retention evaluation
13,3,1,53,0.2,24,MRDS,uniform observed subset,0.0030909100033067504,0.0004607240346818741,final structured retention evaluation
13,3,1,53,0.2,24,W2-k-medoids,uniform observed subset,0.009515437482111545,,final structured retention evaluation
14,3,2,53,0.2,24,Facility Location,uniform observed subset,0.009184153960513022,,final structured retention evaluation
14,3,2,53,0.2,24,MRDS,uniform observed subset,0.004451782657454506,0.0005066382698420655,final structured retention evaluation
14,3,2,53,0.2,24,W2-k-medoids,uniform observed subset,0.006582831943615812,,final structured retention evaluation
15,3,3,53,0.2,24,Facility Location,uniform observed subset,0.00968022716138836,,final structured retention evaluation
15,3,3,53,0.2,24,MRDS,uniform observed subset,0.0037925611933632614,0.00046474197818533873,final structured retention evaluation
15,3,3,53,0.2,24,W2-k-medoids,uniform observed subset,0.008844334416614415,,final structured retention evaluation
16,4,0,71,0.2,24,Facility Location,uniform observed subset,0.009709593233304382,,final structured retention evaluation
16,4,0,71,0.2,24,MRDS,uniform observed subset,0.00577302332481739,0.0005244666952649563,final structured retention evaluation
