split,repeat,fold,seed,budget,m,method,stage,uniform_J_alpha,J_synthetic_final,source
4,1,0,23,0.5,60,W2-k-medoids,uniform observed subset,0.0015340248901687392,,final structured retention evaluation
5,1,1,23,0.5,60,Facility Location,uniform observed subset,0.004086259535677958,,final structured retention evaluation
5,1,1,23,0.5,60,MRDS,uniform observed subset,0.0006494060637283846,5.402127960947486e-05,final structured retention evaluation
5,1,1,23,0.5,60,W2-k-medoids,uniform observed subset,0.0032638374920495343,,final structured retention evaluation
6,1,2,23,0.5,60,Facility Location,uniform observed subset,0.003999417919799627,,final structured retention evaluation
6,1,2,23,0.5,60,MRDS,uniform observed subset,0.0009011307482114402,5.483468789296642e-05,final structured retention evaluation
6,1,2,23,0.5,60,W2-k-medoids,uniform observed subset,0.002666128486068204,,final structured retention evaluation
7,1,3,23,0.5,60,Facility Location,uniform observed subset,0.004209266500974618,,final structured retention evaluation
7,1,3,23,0.5,60,MRDS,uniform observed subset,0.0007792444096806933,9.847932338616742e-05,final structured retention evaluation
7,1,3,23,0.5,60,W2-k-medoids,uniform observed subset,0.004234754183370571,,final structured retention evaluation
8,2,0,37,0.5,60,Facility Location,uniform observed subset,0.004365352550788036,,final structured retention evaluation
8,2,0,37,0.5,60,MRDS,uniform observed subset,0.0002982468381147456,9.756268801502796e-05,final structured retention evaluation
8,2,0,37,0.5,60,W2-k-medoids,uniform observed subset,0.00293881830673501,,final structured retention evaluation
9,2,1,37,0.5,60,Facility Location,uniform observed subset,0.0033336418011049845,,final structured retention evaluation
9,2,1,37,0.5,60,MRDS,uniform observed subset,0.0009495290809470242,0.00010827982681462763,final structured retention evaluation
9,2,1,37,0.5,60,W2-k-medoids,uniform observed subset,0.0026799788558636065,,final structured retention evaluation
10,2,2,37,0.5,60,Facility Location,uniform observed subset,0.005220744489475014,,final structured retention evaluation
10,2,2,37,0.5,60,MRDS,uniform observed subset,0.0009593980589104342,6.074024612484123e-05,final structured retention evaluation
10,2,2,37,0.5,60,W2-k-medoids,uniform observed subset,0.004832541333164203,,final structured retention evaluation
11,2,3,37,0.5,60,Facility Location,uniform observed subset,0.0021394248201445725,,final structured retention evaluation
11,2,3,37,0.5,60,MRDS,uniform observed subset,0.0007601881834371155,5.433865425225041e-05,final structured retention evaluation
11,2,3,37,0.5,60,W2-k-medoids,uniform observed subset,0.0016808639391957762,,final structured retention evaluation
12,3,0,53,0.5,60,Facility Location,uniform observed subset,0.0030665089143434225,,final structured retention evaluation
12,3,0,53,0.5,60,MRDS,uniform observed subset,0.0006929828961501119,0.00010149740899143517,final structured retention evaluation
12,3,0,53,0.5,60,W2-k-medoids,uniform observed subset,0.002920968909188234,,final structured retention evaluation
13,3,1,53,0.5,60,Facility Location,uniform observed subset,0.004413570976657967,,final structured retention evaluation
13,3,1,53,0.5,60,MRDS,uniform observed subset,0.0005698264235744319,5.743715249074515e-05,final structured retention evaluation
13,3,1,53,0.5,60,W2-k-medoids,uniform observed subset,0.003959524211020015,,final structured retention evaluation
14,3,2,53,0.5,60,Facility Location,uniform observed subset,0.004679292377446922,,final structured retention evaluation
14,3,2,53,0.5,60,MRDS,uniform observed subset,0.0010042822147721096,5.462940536814881e-05,final structured retention evaluation
14,3,2,53,0.5,60,W2-k-medoids,uniform observed subset,0.004240748144636547,,final structured retention evaluation
15,3,3,53,0.5,60,Facility Location,uniform observed subset,0.003215490361111883,,final structured retention evaluation
15,3,3,53,0.5,60,MRDS,uniform observed subset,0.0006545464889502791,5.235164378551917e-05,final structured retention evaluation
15,3,3,53,0.5,60,W2-k-medoids,uniform observed subset,0.0022747417674681917,,final structured retention evaluation
16,4,0,71,0.5,60,Facility Location,uniform observed subset,0.005891175390024343,,final structured retention evaluation
16,4,0,71,0.5,60,MRDS,uniform observed subset,0.0012050027491619624,5.984255447717136e-05,final structured retention evaluation
16,4,0,71,0.5,60,W2-k-medoids,uniform observed subset,0.005382137527005468,,final structured retention evaluation
17,4,1,71,0.5,60,Facility Location,uniform observed subset,0.0027441869068238266,,final structured retention evaluation
17,4,1,71,0.5,60,MRDS,uniform observed subset,0.0005472228674995957,5.117861290177586e-05,final structured retention evaluation
17,4,1,71,0.5,60,W2-k-medoids,uniform observed subset,0.0012119954748612944,,final structured retention evaluation
18,4,2,71,0.5,60,Facility Location,uniform observed subset,0.002329995322031853,,final structured retention evaluation
18,4,2,71,0.5,60,MRDS,uniform observed subset,0.0006416867202363202,5.27104463571043e-05,final structured retention evaluation
18,4,2,71,0.5,60,W2-k-medoids,uniform observed subset,0.002144784219020391,,final structured retention evaluation
19,4,3,71,0.5,60,Facility Location,uniform observed subset,0.006050110223458145,,final structured retention evaluation
19,4,3,71,0.5,60,MRDS,uniform observed subset,0.0006580896847084205,0.00010679200750392542,final structured retention evaluation
19,4,3,71,0.5,60,W2-k-medoids,uniform observed subset,0.006090524745613146,,final structured retention evaluation
