"split","repeat","fold","seed","random_seed","budget","m","method","stage","n_selected","n_unique_conditions","n_stable","n_chatter","balanced_accuracy","sensitivity","specificity","R_min","recording_ids","source"
"10","2","2","37","307","0.1","12","Random","uniform final observed subset","12","10","9","3","0.875","0.75","1.0","0.75","S_WPA_L36_DOC0.5_WOC1.0_N3600_F360_R4|S_WPA_L36_DOC1.0_WOC1.0_N1800_F180_R3|S_WPA_L36_DOC1.5_WOC1.0_N1800_F180_R4|S_WPA_L36_DOC2.0_WOC1.0_N2700_F270_R1|S_WPA_L36_DOC6.0_WOC1.0_N2700_F270_R2|S_WPB_L56_DOC1.0_WOC2.0_N2700_F270_R2|S_WPB_L56_DOC1.5_WOC1.0_N1800_F180_R3|S_WPB_L56_DOC1.5_WOC1.0_N1800_F180_R4|S_WPB_L56_DOC1.5_WOC1.0_N2700_F270_R3|U_WPA_L36_DOC3.0_WOC1.0_N3600_F360_R3|U_WPB_L56_DOC3.0_WOC1.0_N1800_F180_R1|U_WPB_L56_DOC3.0_WOC1.0_N1800_F180_R2","final Random-only run from validated final fold geometry"
"11","2","3","37","307","0.1","12","Random","uniform final observed subset","12","10","9","3","1.0","1.0","1.0","1.0","S_WPA_L36_DOC0.5_WOC2.0_N2700_F270_R4|S_WPA_L36_DOC1.0_WOC1.0_N3600_F360_R3|S_WPA_L36_DOC2.0_WOC1.0_N1800_F180_R4|S_WPA_L36_DOC4.0_WOC1.0_N2700_F270_R1|S_WPB_L56_DOC0.5_WOC2.0_N2700_F270_R2|S_WPB_L56_DOC1.5_WOC1.0_N2700_F270_R2|S_WPB_L56_DOC1.5_WOC1.0_N3600_F360_R3|S_WPB_L56_DOC1.5_WOC1.0_N3600_F360_R4|S_WPB_L56_DOC1.5_WOC2.0_N2700_F270_R3|U_WPA_L36_DOC4.0_WOC2.0_N2700_F270_R3|U_WPB_L56_DOC3.0_WOC1.0_N1800_F180_R1|U_WPB_L56_DOC3.0_WOC1.0_N1800_F180_R2","final Random-only run from validated final fold geometry"
"12","3","0","53","401","0.1","12","Random","uniform final observed subset","12","11","8","4","0.9642857142857143","1.0","0.9285714285714286","0.9285714285714286","S_WPA_L36_DOC0.5_WOC1.0_N3600_F360_R3|S_WPA_L36_DOC1.5_WOC1.0_N3600_F360_R3|S_WPA_L36_DOC1.5_WOC1.0_N3600_F360_R4|S_WPA_L36_DOC6.0_WOC1.0_N2700_F270_R4|S_WPB_L56_DOC0.5_WOC1.0_N1800_F180_R3|S_WPB_L56_DOC1.0_WOC1.0_N1800_F180_R4|S_WPB_L56_DOC1.5_WOC1.0_N2700_F270_R4|S_WPB_L56_DOC1.5_WOC2.0_N2700_F270_R1|U_WPA_L36_DOC2.0_WOC1.0_N3600_F360_R1|U_WPB_L56_DOC2.0_WOC1.0_N2700_F270_R4|U_WPB_L56_DOC3.0_WOC1.0_N3600_F360_R4|U_WPB_L56_DOC6.0_WOC1.0_N2700_F270_R2","final Random-only run from validated final fold geometry"
"13","3","1","53","401","0.1","12","Random","uniform final observed subset","12","11","8","4","0.9583333333333333","0.9166666666666666","1.0","0.9166666666666666","S_WPA_L36_DOC0.5_WOC1.0_N3600_F360_R3|S_WPA_L36_DOC1.5_WOC1.0_N1800_F180_R3|S_WPA_L36_DOC1.5_WOC1.0_N1800_F180_R4|S_WPB_L56_DOC0.5_WOC1.0_N2700_F270_R4|S_WPB_L56_DOC0.5_WOC1.0_N3600_F360_R3|S_WPB_L56_DOC1.0_WOC1.0_N2700_F270_R4|S_WPB_L56_DOC1.5_WOC1.0_N1800_F180_R4|S_WPB_L56_DOC1.5_WOC2.0_N2700_F270_R1|U_WPA_L36_DOC2.0_WOC1.0_N3600_F360_R1|U_WPB_L56_DOC2.0_WOC1.0_N3600_F360_R4|U_WPB_L56_DOC3.0_WOC1.0_N1800_F180_R4|U_WPB_L56_DOC4.0_WOC2.0_N2700_F270_R2","final Random-only run from validated final fold geometry"
"14","3","2","53","401","0.1","12","Random","uniform final observed subset","12","11","8","4","1.0","1.0","1.0","1.0","S_WPA_L36_DOC0.5_WOC2.0_N2700_F270_R3|S_WPA_L36_DOC1.0_WOC2.0_N2700_F270_R3|S_WPA_L36_DOC1.0_WOC2.0_N2700_F270_R4|S_WPA_L36_DOC2.0_WOC1.0_N2700_F270_R4|S_WPA_L36_DOC3.0_WOC1.0_N1800_F180_R3|S_WPB_L56_DOC0.5_WOC1.0_N2700_F270_R4|S_WPB_L56_DOC1.5_WOC1.0_N1800_F180_R4|S_WPB_L56_DOC1.5_WOC2.0_N2700_F270_R1|U_WPA_L36_DOC2.0_WOC1.0_N3600_F360_R1|U_WPB_L56_DOC2.0_WOC1.0_N1800_F180_R4|U_WPB_L56_DOC2.0_WOC1.0_N3600_F360_R4|U_WPB_L56_DOC6.0_WOC1.0_N2700_F270_R2","final Random-only run from validated final fold geometry"
"15","3","3","53","401","0.1","12","Random","uniform final observed subset","12","11","9","3","0.71875","0.4375","1.0","0.4375","S_WPA_L36_DOC0.5_WOC2.0_N2700_F270_R3|S_WPA_L36_DOC1.5_WOC1.0_N1800_F180_R3|S_WPA_L36_DOC1.5_WOC1.0_N1800_F180_R4|S_WPA_L36_DOC4.0_WOC1.0_N2700_F270_R4|S_WPA_L36_DOC6.0_WOC1.0_N2700_F270_R3|S_WPB_L56_DOC1.0_WOC1.0_N1800_F180_R4|S_WPB_L56_DOC1.0_WOC2.0_N2700_F270_R4|S_WPB_L56_DOC1.5_WOC1.0_N2700_F270_R1|S_WPB_L56_DOC1.5_WOC1.0_N3600_F360_R1|U_WPB_L56_DOC2.0_WOC2.0_N2700_F270_R4|U_WPB_L56_DOC3.0_WOC1.0_N3600_F360_R4|U_WPB_L56_DOC6.0_WOC1.0_N2700_F270_R2","final Random-only run from validated final fold geometry"
"16","4","0","71","503","0.1","12","Random","uniform final observed subset","12","9","9","3","0.875","0.75","1.0","0.75","S_WPA_L36_DOC1.0_WOC2.0_N2700_F270_R3|S_WPA_L36_DOC1.5_WOC1.0_N3600_F360_R4|S_WPA_L36_DOC1.5_WOC2.0_N2700_F270_R1|S_WPA_L36_DOC1.5_WOC2.0_N2700_F270_R3|S_WPA_L36_DOC6.0_WOC1.0_N2700_F270_R2|S_WPA_L36_DOC6.0_WOC1.0_N2700_F270_R4|S_WPB_L56_DOC0.5_WOC1.0_N3600_F360_R4|S_WPB_L56_DOC1.5_WOC2.0_N2700_F270_R3|S_WPB_L56_DOC1.5_WOC2.0_N2700_F270_R4|U_WPA_L36_DOC2.0_WOC1.0_N3600_F360_R1|U_WPB_L56_DOC2.0_WOC1.0_N1800_F180_R2|U_WPB_L56_DOC3.0_WOC1.0_N3600_F360_R3","final Random-only run from validated final fold geometry"
"17","4","1","71","503","0.1","12","Random","uniform final observed subset","12","9","9","3","0.5833333333333334","0.16666666666666666","1.0","0.16666666666666666","S_WPA_L36_DOC1.0_WOC1.0_N3600_F360_R3|S_WPA_L36_DOC1.5_WOC1.0_N3600_F360_R4|S_WPA_L36_DOC2.0_WOC1.0_N1800_F180_R1|S_WPA_L36_DOC2.0_WOC1.0_N1800_F180_R3|S_WPB_L56_DOC0.5_WOC1.0_N2700_F270_R2|S_WPB_L56_DOC0.5_WOC1.0_N2700_F270_R4|S_WPB_L56_DOC1.0_WOC1.0_N1800_F180_R4|S_WPB_L56_DOC1.5_WOC2.0_N2700_F270_R3|S_WPB_L56_DOC1.5_WOC2.0_N2700_F270_R4|U_WPA_L36_DOC2.0_WOC2.0_N2700_F270_R1|U_WPA_L36_DOC4.0_WOC2.0_N2700_F270_R2|U_WPB_L56_DOC2.0_WOC2.0_N2700_F270_R3","final Random-only run from validated final fold geometry"
"18","4","2","71","503","0.1","12","Random","uniform final observed subset","12","9","10","2","0.5","0.0","1.0","0.0","S_WPA_L36_DOC1.0_WOC2.0_N2700_F270_R3|S_WPA_L36_DOC2.0_WOC1.0_N1800_F180_R4|S_WPA_L36_DOC2.0_WOC1.0_N2700_F270_R1|S_WPA_L36_DOC2.0_WOC1.0_N2700_F270_R3|S_WPB_L56_DOC0.5_WOC1.0_N1800_F180_R2|S_WPB_L56_DOC0.5_WOC1.0_N1800_F180_R4|S_WPB_L56_DOC1.0_WOC1.0_N1800_F180_R4|S_WPB_L56_DOC1.5_WOC1.0_N3600_F360_R3|S_WPB_L56_DOC1.5_WOC1.0_N3600_F360_R4|S_WPB_L56_DOC1.5_WOC2.0_N2700_F270_R1|U_WPA_L36_DOC2.0_WOC2.0_N2700_F270_R2|U_WPB_L56_DOC2.0_WOC2.0_N2700_F270_R3","final Random-only run from validated final fold geometry"
"19","4","3","71","503","0.1","12","Random","uniform final observed subset","12","9","9","3","0.8333333333333333","0.6666666666666666","1.0","0.6666666666666666","S_WPA_L36_DOC1.0_WOC1.0_N3600_F360_R3|S_WPA_L36_DOC1.5_WOC1.0_N1800_F180_R4|S_WPA_L36_DOC1.5_WOC1.0_N3600_F360_R1|S_WPA_L36_DOC1.5_WOC1.0_N3600_F360_R3|S_WPA_L36_DOC4.0_WOC1.0_N2700_F270_R2|S_WPA_L36_DOC4.0_WOC1.0_N2700_F270_R4|S_WPB_L56_DOC1.0_WOC1.0_N1800_F180_R4|S_WPB_L56_DOC1.5_WOC1.0_N3600_F360_R3|S_WPB_L56_DOC1.5_WOC1.0_N3600_F360_R4|U_WPA_L36_DOC2.0_WOC1.0_N3600_F360_R1|U_WPA_L36_DOC3.0_WOC1.0_N3600_F360_R2|U_WPB_L56_DOC3.0_WOC1.0_N1800_F180_R3","final Random-only run from validated final fold geometry"
