method,J_alpha_S,mean_balanced_accuracy,mean_sensitivity,mean_specificity,minimum_foldwise_balanced_accuracy
Full training,,0.9507440476190478,0.9270833333333334,0.9744047619047619,0.8630952380952381
MRDS,0.01188365947612005,0.822172619047619,0.6854166666666667,0.9589285714285716,0.5
Wasserstein k-medoids,0.012824416628221508,0.749702380952381,0.5083333333333333,0.9910714285714285,0.5
Facility Location,0.014023503758490343,0.7329613095238094,0.4677083333333333,0.9982142857142857,0.5
Random,13.75597815634894,0.6985119047619047,0.4166666666666667,0.9803571428571429,0.5
