split,repeat,fold,seed,feature_set,n_train,n_test,n_train_conditions,n_test_conditions,budget,method,stage,n_selected,weight_mode,balanced_accuracy,macro_f1,auroc,sensitivity,specificity,n_unique_selected_conditions,n_duplicate_condition_slots,max_selected_per_condition
1,0,1,11,all40,120,40,30,10,0.1,Random-R,same-objective one-swap refinement,12,renyi,0.5,0.4117647058823529,0.5,0.0,1.0,11.0,1.0,2.0
1,0,1,11,all40,120,40,30,10,0.1,FacilityLocation,initializer,12,uniform,0.5416666666666666,0.49483352468427094,0.5833333333333334,0.08333333333333333,1.0,8.0,4.0,3.0
1,0,1,11,all40,120,40,30,10,0.1,FacilityLocation,initializer,12,voronoi,0.5416666666666666,0.49483352468427094,0.625,0.08333333333333333,1.0,8.0,4.0,3.0
1,0,1,11,all40,120,40,30,10,0.1,FacilityLocation,initializer,12,renyi,0.5416666666666666,0.49483352468427094,0.625,0.08333333333333333,1.0,8.0,4.0,3.0
1,0,1,11,all40,120,40,30,10,0.1,FacilityLocation-R,same-objective one-swap refinement,12,uniform,0.5416666666666666,0.49483352468427094,0.625,0.08333333333333333,1.0,8.0,4.0,3.0
1,0,1,11,all40,120,40,30,10,0.1,FacilityLocation-R,same-objective one-swap refinement,12,voronoi,0.5416666666666666,0.49483352468427094,0.625,0.08333333333333333,1.0,8.0,4.0,3.0
1,0,1,11,all40,120,40,30,10,0.1,FacilityLocation-R,same-objective one-swap refinement,12,renyi,0.5416666666666666,0.49483352468427094,0.625,0.08333333333333333,1.0,8.0,4.0,3.0
1,0,1,11,all40,120,40,30,10,0.1,W2-KMedoids,initializer,12,uniform,0.5416666666666666,0.49483352468427094,0.625,0.08333333333333333,1.0,8.0,4.0,3.0
1,0,1,11,all40,120,40,30,10,0.1,W2-KMedoids,initializer,12,voronoi,0.5416666666666666,0.49483352468427094,0.5416666666666666,0.08333333333333333,1.0,8.0,4.0,3.0
1,0,1,11,all40,120,40,30,10,0.1,W2-KMedoids,initializer,12,renyi,0.5416666666666666,0.49483352468427094,0.625,0.08333333333333333,1.0,8.0,4.0,3.0
1,0,1,11,all40,120,40,30,10,0.1,W2-KMedoids-R,same-objective one-swap refinement,12,uniform,0.9821428571428572,0.9709090909090909,0.9821428571428571,1.0,0.9642857142857143,8.0,4.0,3.0
1,0,1,11,all40,120,40,30,10,0.1,W2-KMedoids-R,same-objective one-swap refinement,12,voronoi,0.9285714285714286,0.8901098901098901,0.9285714285714286,1.0,0.8571428571428571,8.0,4.0,3.0
1,0,1,11,all40,120,40,30,10,0.1,W2-KMedoids-R,same-objective one-swap refinement,12,renyi,0.9642857142857143,0.9430199430199431,0.9642857142857143,1.0,0.9285714285714286,8.0,4.0,3.0
1,0,1,11,all40,120,40,30,10,0.1,MRDS projected,initializer,12,uniform,0.8988095238095238,0.9084668192219679,0.8839285714285714,0.8333333333333334,0.9642857142857143,10.0,2.0,2.0
1,0,1,11,all40,120,40,30,10,0.1,MRDS projected,initializer,12,voronoi,0.8630952380952381,0.8545454545454545,0.8571428571428572,0.8333333333333334,0.8928571428571429,10.0,2.0,2.0
1,0,1,11,all40,120,40,30,10,0.1,MRDS projected,initializer,12,renyi,0.8988095238095238,0.9084668192219679,0.8779761904761906,0.8333333333333334,0.9642857142857143,10.0,2.0,2.0
1,0,1,11,all40,120,40,30,10,0.1,MRDS-IS-R (proposed),same-objective one-swap refinement,12,uniform,0.8988095238095238,0.9084668192219679,0.8839285714285714,0.8333333333333334,0.9642857142857143,11.0,1.0,2.0
1,0,1,11,all40,120,40,30,10,0.1,MRDS-IS-R (proposed),same-objective one-swap refinement,12,voronoi,0.8809523809523809,0.8809523809523809,0.8779761904761906,0.8333333333333334,0.9285714285714286,11.0,1.0,2.0
1,0,1,11,all40,120,40,30,10,0.1,MRDS-IS-R (proposed),same-objective one-swap refinement,12,renyi,0.8988095238095238,0.9084668192219679,0.8779761904761906,0.8333333333333334,0.9642857142857143,11.0,1.0,2.0
1,0,1,11,all40,120,40,30,10,0.1,Best-of-starts-R (diagnostic only),diagnostic oracle over supplied starts; winner=FacilityLocation,12,uniform,0.5416666666666666,0.49483352468427094,0.625,0.08333333333333333,1.0,8.0,4.0,3.0
1,0,1,11,all40,120,40,30,10,0.1,Best-of-starts-R (diagnostic only),diagnostic oracle over supplied starts; winner=FacilityLocation,12,voronoi,0.5416666666666666,0.49483352468427094,0.625,0.08333333333333333,1.0,8.0,4.0,3.0
1,0,1,11,all40,120,40,30,10,0.1,Best-of-starts-R (diagnostic only),diagnostic oracle over supplied starts; winner=FacilityLocation,12,renyi,0.5416666666666666,0.49483352468427094,0.625,0.08333333333333333,1.0,8.0,4.0,3.0
2,0,2,11,all40,120,40,30,10,1.0,Full training set,no reduction,120,uniform,0.9375,0.9466666666666667,0.8802083333333333,0.875,1.0,,,
2,0,2,11,all40,120,40,30,10,0.1,Random,initializer,12,uniform,0.59375,0.551337359792925,0.6875,0.1875,1.0,11.0,1.0,2.0
2,0,2,11,all40,120,40,30,10,0.1,Random,initializer,12,voronoi,0.5625,0.4982078853046595,0.59375,0.125,1.0,11.0,1.0,2.0
2,0,2,11,all40,120,40,30,10,0.1,Random,initializer,12,renyi,0.5,0.2857142857142857,0.5,1.0,0.0,11.0,1.0,2.0
2,0,2,11,all40,120,40,30,10,0.1,Random-R,same-objective one-swap refinement,12,uniform,0.59375,0.551337359792925,0.6875,0.1875,1.0,10.0,2.0,2.0
2,0,2,11,all40,120,40,30,10,0.1,Random-R,same-objective one-swap refinement,12,voronoi,0.5625,0.4982078853046595,0.59375,0.125,1.0,10.0,2.0,2.0
2,0,2,11,all40,120,40,30,10,0.1,Random-R,same-objective one-swap refinement,12,renyi,0.5,0.2857142857142857,0.5,1.0,0.0,10.0,2.0,2.0
2,0,2,11,all40,120,40,30,10,0.1,FacilityLocation,initializer,12,uniform,0.65625,0.6448748991121873,0.8125,0.3125,1.0,10.0,2.0,2.0
2,0,2,11,all40,120,40,30,10,0.1,FacilityLocation,initializer,12,voronoi,0.6875,0.6865203761755485,0.78125,0.375,1.0,10.0,2.0,2.0
2,0,2,11,all40,120,40,30,10,0.1,FacilityLocation,initializer,12,renyi,0.65625,0.6448748991121873,0.8125,0.3125,1.0,10.0,2.0,2.0
2,0,2,11,all40,120,40,30,10,0.1,FacilityLocation-R,same-objective one-swap refinement,12,uniform,0.65625,0.6448748991121873,0.8125,0.3125,1.0,10.0,2.0,2.0
2,0,2,11,all40,120,40,30,10,0.1,FacilityLocation-R,same-objective one-swap refinement,12,voronoi,0.59375,0.551337359792925,0.78125,0.1875,1.0,10.0,2.0,2.0
2,0,2,11,all40,120,40,30,10,0.1,FacilityLocation-R,same-objective one-swap refinement,12,renyi,0.6875,0.6865203761755485,0.8125,0.375,1.0,10.0,2.0,2.0
2,0,2,11,all40,120,40,30,10,0.1,W2-KMedoids,initializer,12,uniform,0.5,0.375,0.5,0.0,1.0,10.0,2.0,2.0
2,0,2,11,all40,120,40,30,10,0.1,W2-KMedoids,initializer,12,voronoi,0.5,0.375,0.5,0.0,1.0,10.0,2.0,2.0
2,0,2,11,all40,120,40,30,10,0.1,W2-KMedoids,initializer,12,renyi,0.5,0.375,0.5,0.0,1.0,10.0,2.0,2.0
2,0,2,11,all40,120,40,30,10,0.1,W2-KMedoids-R,same-objective one-swap refinement,12,uniform,0.59375,0.551337359792925,0.6875,0.1875,1.0,9.0,3.0,2.0
2,0,2,11,all40,120,40,30,10,0.1,W2-KMedoids-R,same-objective one-swap refinement,12,voronoi,0.625,0.6000000000000001,0.65625,0.25,1.0,9.0,3.0,2.0
2,0,2,11,all40,120,40,30,10,0.1,W2-KMedoids-R,same-objective one-swap refinement,12,renyi,0.59375,0.551337359792925,0.6875,0.1875,1.0,9.0,3.0,2.0
2,0,2,11,all40,120,40,30,10,0.1,MRDS projected,initializer,12,uniform,0.5625,0.4982078853046595,0.54296875,0.125,1.0,10.0,2.0,3.0
2,0,2,11,all40,120,40,30,10,0.1,MRDS projected,initializer,12,voronoi,0.53125,0.43977591036414565,0.53125,0.0625,1.0,10.0,2.0,3.0
2,0,2,11,all40,120,40,30,10,0.1,MRDS projected,initializer,12,renyi,0.53125,0.43977591036414565,0.5598958333333333,0.0625,1.0,10.0,2.0,3.0
2,0,2,11,all40,120,40,30,10,0.1,MRDS-IS-R (proposed),same-objective one-swap refinement,12,uniform,0.5625,0.4982078853046595,0.54296875,0.125,1.0,10.0,2.0,3.0
2,0,2,11,all40,120,40,30,10,0.1,MRDS-IS-R (proposed),same-objective one-swap refinement,12,voronoi,0.53125,0.43977591036414565,0.53125,0.0625,1.0,10.0,2.0,3.0
2,0,2,11,all40,120,40,30,10,0.1,MRDS-IS-R (proposed),same-objective one-swap refinement,12,renyi,0.53125,0.43977591036414565,0.5598958333333333,0.0625,1.0,10.0,2.0,3.0
2,0,2,11,all40,120,40,30,10,0.1,Best-of-starts-R (diagnostic only),diagnostic oracle over supplied starts; winner=W2-KMedoids,12,uniform,0.59375,0.551337359792925,0.6875,0.1875,1.0,9.0,3.0,2.0
2,0,2,11,all40,120,40,30,10,0.1,Best-of-starts-R (diagnostic only),diagnostic oracle over supplied starts; winner=W2-KMedoids,12,voronoi,0.625,0.6000000000000001,0.65625,0.25,1.0,9.0,3.0,2.0
2,0,2,11,all40,120,40,30,10,0.1,Best-of-starts-R (diagnostic only),diagnostic oracle over supplied starts; winner=W2-KMedoids,12,renyi,0.59375,0.551337359792925,0.6875,0.1875,1.0,9.0,3.0,2.0
3,0,3,11,all40,120,40,30,10,1.0,Full training set,no reduction,120,uniform,0.9166666666666667,0.9373040752351097,0.8958333333333333,0.8333333333333334,1.0,,,
3,0,3,11,all40,120,40,30,10,0.1,Random,initializer,12,uniform,0.5238095238095238,0.48051948051948057,0.5238095238095237,0.08333333333333333,0.9642857142857143,11.0,1.0,2.0
3,0,3,11,all40,120,40,30,10,0.1,Random,initializer,12,voronoi,0.5238095238095238,0.48051948051948057,0.5238095238095237,0.08333333333333333,0.9642857142857143,11.0,1.0,2.0
3,0,3,11,all40,120,40,30,10,0.1,Random,initializer,12,renyi,0.5,0.4117647058823529,0.5,0.0,1.0,11.0,1.0,2.0
